RRT - sent_id,RRT - verb position,RRT - verb lemma,DCV - unit,DCV - frame
train-7965,22,permite,1,"GN [ac] / GV [(ca) să]"
train-2737,2,stărui,1,"GN [nom]|GP [în / pentru / asupra] / GV [(ca) să]|GP [pe lângă / la]"
train-2615,10,interesa,1,"GN [nom]|_|GN [ac]"
train-1141,16,merge,1,"GP []"
train-774,10,aduna,1,"GN [nom]|_|GN [ac]"
train-185,8,urmări,1,"_|GN [ac]|_"
train-2531,8,suporta,2,"_|GN [ac]|_"
dev-729,25,absorbi,1,"GN [ac]|GN [nom]"
train-262,1,merge,1,"GP [] / GAdv []|GP []|_"
train-151,3,atinge,4,"GN [nom]|GN [ac]"
train-1654,7,avea,1,"GN [nom]|GN [ac]"
test-370,8,acționa,1,"GN [nom]|GAdv [] / GP []|_|_"
train-7609,18,continua,2,"_|GN [ac]"
train-2263,4,cerceta,1,"GN [nom]|GN [ac] / V [se]"
train-88,1,vorbi,2,"_|GP [cu] / GN [dat] / GP [la / pentru] / GP [la]"
dev-409,18,trece,1,"GN [nom]|GP [] / GAdv []"
train-1508,22,schimba,4,"GN [nom]|_|GN [ac]"
train-136,30,intra,3,"_|GP [în]"
train-245,16,duce,10,"_|GN [nom]"
train-7695,7,afla,2,"GP [] / GAdv []|GN [nom]|_|_"
train-1719,4,conține,1,"_|GN [ac]"
train-1534,14,confirma,1,"GN [nom] / GV [că]|_|GN [ac] / GV [că]"
dev-535,17,dovedi,1,"GN [nom]|GN [ac] / GV [că]"
test-238,6,vedea,2,"GN [ac] / V [se]|GP [] / GP [] / GAdj [ac] / GV [ger. / part.] / GN [ac] / GV [că] / GV [unde / cum…]"
train-7119,29,auzi,1,"_|GN [ac]"
train-164,17,părea,3,"GN [dat]|_|GV [că]"
train-1281,11,încerca,1,"GN [nom]|_|V [să]"
train-139,36,transforma,1,"GN [ac]|_|GP [în]"
train-7777,12,afla,2,"GP [] / GAdv []|_|GN [nom]|_"
train-2268,10,încerca,1,"V [să]"
train-269,2,invita,2,"GN [ac]|_|GP [la] / GV [să] / GV [la sup.]"
train-2909,3,zice,1,"GN [nom]|GN [ac] / GV [că] / GV [unde / cum…] / GV [-]"
test-524,5,asigura,1,"GN [ac]|_|_"
train-649,25,avea,1,"GN [ac]"
train-1140,4,nega,1,"GN [nom]|GN [ac] / GV [că]"
train-7834,8,avea,1,"GN [nom]|_|GN [ac]"
train-101,2,consulta,1,"_|GN [ac]"
test-145,15,accepta,2,"GN [ac] / GV [că / să]"
train-723,24,sta,2,"GN [nom]|GP [] / GAdv []"
train-7908,10,furniza,1,"GN [ac]|_|_|_|_"
dev-127,16,adopta,1,"GN [nom]|GN [ac]"
train-1659,5,furniza,1,"GN [nom]|GN [dat]|_|GN [ac]"
train-7660,10,apărea,1,"_|GN [nom]|GP [] / GAdv []"
train-1918,25,permite,1,"GN [ac] / GV [(ca) să]"
train-7297,3,corespunde,1,"GN [nom]|GN [dat] / GP [cu / la]|_"
train-1141,3,anunța,1,"GN [nom]|GN [ac] / GV [că] / GV [unde / cum…] / GV [-]"
train-420,2,apărea,1,"GP [] / GAdv []|GN [nom]"
train-1560,9,conține,1,"_|GN [nom]|GN [ac]"
train-2462,16,aparține,1,"GN [nom]|GN [dat]"
train-1458,26,urma,5,"V [să] / V [inf.]"
dev-220,2,încheia,2,"_|_|GN [nom]"
train-2160,2,comunica,1,"GN [nom]|_|GN [ac] / GV [că] / GV [unde / cum…]"
train-1124,2,ieși,1,"GN [nom]|GP []|GP [] / GAdv []|GP []|_"
train-1261,7,întâlni,1,"GN [nom]|_|GP [] / GAdv []"
dev-225,12,amplifica,1,"_|GN [ac]"
train-7190,6,face,1,"_|GN [ac]"
train-2588,10,avea,1,"GN [nom]|GN [ac]"
test-462,17,încerca,1,"V [să]"
dev-25,38,vedea,2,"_|GN [ac] / V [se] / GV [că / unde / cum…]|GP []"
train-2213,8,întoarce,1,"GP []|GN [nom]|_|GP [] / GAdv []|GP []"
train-1375,24,afla,2,"GP [] / GAdv []|_|GN [nom]"
train-901,21,ajunge,5,"GN [nom]|GP [la / până la]"
train-473,2,rămâne,4,"GN [nom]|V [part.] / GAdj [nom] / GN [nom] / GP [] / V [ger.] / V [de sup.] / GAdv []|_"
dev-675,1,avea,1,"GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|_|GN [ac]"
test-51,16,vorbi,2,"GN [nom]|GP [cu] / GN [dat] / GP [la / pentru] / GP [la]|GP []"
train-7942,21,numi,4,"GN [nom] / GV [dacă / când / că / să]|_|GN [nom] / GAdv [cum / așa] / GV [că / să]"
train-7830,3,avea,1,"GN [nom]|GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [ac]"
train-1252,10,opri,1,"_|GN [ac]|_"
test-327,31,trage,11,"GP [din / de la]|_"
train-7372,13,corespunde,1,"GN [nom]|GN [dat] / GP [cu / la]"
dev-659,19,juca,6,"GN [nom]"
test-229,11,spune,1,"GN [ac] / GV [că] / GV [unde / cum…] / GV [-]|_"
dev-671,33,dormi,1,"_"
train-2931,6,sta,2,"GN [nom]|GP [] / GAdj [nom]|GP [] / GAdv []"
train-3387,3,aștepta,1,"GN [nom]|GN [ac]"
train-842,14,intra,3,"GP [în]|_"
train-1508,30,dori,1,"_|_|_|GN [ac] / V [să] / GV [(ca) să]"
train-2910,3,face,1,"GN [nom]|GN [ac]"
train-1601,70,depăși,1,"GN [nom]|_|GN [ac]"
train-296,21,cuprinde,1,"_|GN [ac]|GN [nom]"
train-2000,5,furniza,1,"GN [ac]|_"
train-1967,43,impune,2,"_|GN [nom]|GN [ac] / GV [(ca) să]"
test-373,2,avea,1,"GN [nom]|GN [ac]"
test-106,18,scăpa,3,"GP [de]|_"
train-1263,32,transporta,1,"GN [nom]|GN [ac]"
train-1068,3,locui,1,"GN [nom]|GP [] / GAdv []|_"
train-1473,9,acorda,1,"GN [nom]|GN [dat]|GN [ac]"
train-7085,13,renunța,1,"GN [nom]|GP [la] / V [să]"
train-7621,7,deveni,1,"GP [din]|GN [nom]|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]|_"
train-1169,1,avea,1,"GN [ac]"
train-7241,5,apărea,1,"GP [] / GAdv []|GN [nom]"
train-691,19,ajunge,1,"GN [nom]|GP [] / GAdv []|GP []|GP []"
dev-131,9,trece,1,"_|GN [nom]|GP [prin / prin (fața, spatele) / pe / pe (la, lângă, sub…)]"
train-7321,7,răspunde,2,"GP [la] / GN [dat]|_"
train-50,18,începe,2,"_|GN [nom]|GN [ac] / V [să]"
train-7121,28,bate,1,"_|GN [nom]|GP []|GN [ac] / V [se]"
train-2385,2,rămâne,4,"V [part.] / GAdj [nom] / GN [nom] / GP [] / V [ger.] / V [de sup.] / GAdv []|_|_"
train-7909,31,determina,2,"GN [ac]"
train-7544,6,afla,2,"GP [] / GAdv []|_|GN [nom]"
train-3142,12,dori,1,"GN [ac] / V [să] / GV [(ca) să]|GN [nom]|_"
train-1224,11,prezenta,4,"GN [nom]|GN [ac]"
train-8003,4,apărea,1,"GN [nom]|GP [] / GAdv []|GP [] / GAdv []"
train-7655,7,avea,1,"GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [nom]|GN [ac]|_"
dev-710,5,deveni,1,"GN [nom]|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]"
train-2103,4,începe,1,"GN [nom]|_"
train-1199,24,afecta,1,"GN [nom]|_|GN [ac]|_"
test-508,8,coborî,1,"GN [nom]|GP []"
train-7324,1,cuprinde,2,"_|GN [ac]"
train-2687,7,repeta,5,"GN [nom]|_"
test-375,2,consuma,1,"_|GN [ac] / GP [din]"
train-1448,21,clasa,3,"_|GP [] / GN [ac] / GAdv []|GP [la / în] / GP [în ce privește]"
train-3015,12,pierde,3,"_|GN [ac]|GN [nom]"
dev-72,17,primi,1,"GN [ac]"
test-131,8,declara,1,"GN [nom]|GV [că] / GV [unde / cum…]"
train-3035,12,chema,3,"GN [nom] / GV [dacă / când / că / să]|_|GN [nom] / GAdv [cum / așa] / GV [că / să]"
train-1644,15,avea,1,"GN [nom]|GN [ac]|GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]"
train-217,12,pregăti,1,"GN [ac] / V [se]|GV [să] / GP [de / pentru]"
test-170,8,reprezenta,1,"GN [nom]|GN [ac]"
dev-413,13,trece,1,"GP [] / GAdv []|GN [nom]|GP []"
dev-710,12,impune,4,"_|_|GN [nom]"
train-2493,10,opri,10,"GN [nom]|GP [asupra / la]"
train-480,3,deschide,9,"GN [nom]|_|_"
train-7358,15,constitui,1,"_|GN [ac]|_|GN [nom]"
train-66,6,sosi,1,"GN [nom]|GP [] / GN [dat] / GAdv []|GP []"
dev-719,9,deveni,1,"GN [nom] / GAdj [nom] / V [de sup.] / V [part.]"
test-576,6,hotărî,1,"GN [ac] / GV [că] / GV [(ca) să] / GV [unde / cum… +rezultat] / GP [asupra / cu privire la]|_|_"
train-3362,4,ajuta,1,"GN [nom]|GN [ac]"
train-769,7,spune,5,"GN [ac] / GAdv [cum / așa]|GN [dat]|_"
train-2448,2,urma,3,"GN [ac]"
test-313,7,vorbi,2,"GP [despre / de] / GV [că]"
test-573,7,rezulta,2,"GP [din / de la]|GN [nom]"
train-2404,7,părea,2,"GN [nom] / GAdj [nom] / GP [] / V [part. / inf.] / V [de sup.] / GAdv []|GN [nom] / GV [să / că]|_"
train-1810,2,confirma,1,"GN [nom] / GV [că]|GN [ac] / GV [că]"
train-300,41,căuta,1,"GN [ac]"
train-2458,18,rămâne,4,"V [part.] / GAdj [nom] / GN [nom] / GP [] / V [ger.] / V [de sup.] / GAdv []"
train-559,7,teme,1,"GP [de]|_"
train-7955,3,modifica,2,"_|GN [nom]"
train-7085,2,ști,1,"_|GV [că] / GV [unde / cum…] / GN [ac]"
train-1245,15,prevedea,2,"GN [nom]|GN [ac] / GV [că / (ca) să]"
train-3115,9,cunoaște,3,"GN [ac]"
train-390,23,deschide,2,"GN [ac]"
train-1205,5,declara,1,"GN [nom]|GV [că] / GV [unde / cum…]|_"
train-878,3,respecta,1,"GN [nom]|GN [ac]"
train-2628,11,închide,7,"GN [nom]|_"
train-2755,19,deveni,1,"GN [nom] / GAdj [nom] / V [de sup.] / V [part.]"
train-2371,6,ignora,1,"GN [ac] / GV [că] / GV [unde / cum…]"
train-883,2,afirma,1,"GN [nom]|GV [că] / GN [ac]"
train-135,9,trezi,3,"GN [nom] / GAdj [nom] / GP [] / V [ger. / part.] / GP [] / GAdv []|GN [nom]|_|_"
train-3051,20,aprinde,3,"GN [nom]|GP []|_|_"
train-7149,4,constata,1,"GN [nom]|GN [ac] / GV [că] / GV [unde / cum…]"
train-7879,24,declara,2,"GN [ac]"
train-1458,29,dubla,1,"_|GN [ac]"
train-2410,20,simți,1,"GN [nom]|GN [ac] / GV [că / când / dacă]"
train-3287,18,justifica,3,"GN [nom]|GP [prin] / V [ger.] / GV [că]|GP [] / GV [când / pentru faptul că]|GP [în fața] / GN [dat]"
train-7183,6,baza,1,"GN [nom]|_|GP [pe]"
train-43,54,da,2,"GN [nom]|GN [dat]|GN [ac]"
test-42,6,întoarce,1,"GN [nom]|GP []|GP [] / GAdv []|GP []"
train-1389,21,petrece,1,"GN [ac]|GP []"
test-365,2,observa,1,"GN [ac] / GV [că] / GV [unde / cum…]"
train-7564,11,asigura,1,"_|GN [nom]|GN [ac]"
train-824,11,părea,1,"_|GN [nom]|V [că / să]"
train-3160,7,închide,1,"GN [ac]|_"
train-7631,13,apropia,1,"GN [nom]|_|_"
train-512,3,sta,2,"GP [] / GAdv []"
train-7334,43,realiza,1,"_|GN [nom]|GN [ac]"
dev-21,1,avea,1,"GN [ac]"
train-406,18,uita,1,"_|GN [nom]|GP [] / GAdv []|GP [] / GAdv [] / GAdj [nom]"
train-7915,1,exista,1,"GN [nom]"
train-1338,25,găsi,7,"GN [nom]|_|_|GP []"
dev-292,7,avea,1,"GN [nom]|GN [ac]"
train-582,2,pune,1,"GP [] / GAdv []|GN [ac] / V [se]|GP [] / GAdv []"
train-28,5,sta,2,"GN [nom]|GP [] / GAdv []"
test-506,21,arăta,3,"GV [că / să] / GV [unde / cum…] / GP []"
train-1287,30,costa,1,"GN [nom]|_"
train-697,42,veni,1,"GN [nom]|GP [] / GAdv []"
train-2652,12,face,1,"GN [ac]"
train-1611,11,dispune,3,"GN [nom]|_|GP [de]"
test-237,2,urmări,1,"GN [nom]|GN [ac]"
train-2451,12,privi,1,"GN [ac] / GP [] / GP [] / GAdv []"
train-2181,14,umple,1,"GN [nom]|GP [cu / de]|GN [ac]|_"
dev-667,13,lua,2,"GP [] / GAdv []|GN [ac]"
dev-466,17,asculta,1,"GN [nom]|GN [ac]|_"
train-12,27,ocupa,5,"GP [cu] / GP [de]|_"
train-679,1,crede,1,"GV [că] / GN [ac]"
test-509,20,vizita,1,"GN [ac]"
train-963,9,referi,1,"GP [la]|_"
train-946,8,întoarce,1,"GN [nom]|_|GP []"
train-2055,66,demisiona,1,"GN [nom]"
train-7166,4,arăta,1,"GN [dat] / GP [față de / în fața]|GN [ac]"
dev-14,3,avea,3,"V [de sup.]"
train-2767,17,rămâne,1,"GN [nom]|GP [] / GAdv []|_"
train-1656,7,suferi,3,"GN [nom]|_|GN [ac]|_|_"
test-563,9,purta,8,"_|GN [nom]|GN [ac]"
dev-336,1,stăpâni,1,"GN [ac]|_"
train-876,18,avea,1,"GN [ac]"
train-363,2,auzi,1,"GN [ac]"
train-2799,12,hotărî,1,"GN [ac] / GV [că] / GV [(ca) să] / GV [unde / cum… +rezultat] / GP [asupra / cu privire la]"
train-127,2,uita,1,"_|GP [] / GAdv []"
train-7153,2,înțelege,1,"GN [nom]|GN [ac]|GP [din / după / de la]|GAdv [așa / cum]"
train-2573,21,arăta,4,"_|GAdj [nom] / GP [ca / a] / GP [] / GAdv [] / V [part. / inf.]|_|_|_"
train-7666,10,deveni,1,"_|GN [nom]|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]|_"
test-107,13,uita,1,"GN [ac] / GP [de] / GV [că] / V [să] / GV [unde / cum…]"
train-157,13,apărea,1,"GP [] / GAdv []|GN [nom]"
train-1662,38,realiza,1,"GN [ac]|_|_"
train-1565,7,autoriza,2,"GN [nom]|GN [ac] / GV [(ca) să]"
train-1505,16,prezenta,1,"GN [nom]|_|GP [la / în fața]|GAdj [nom] / GP [] / V [part. / ger.] / GAdv []"
train-1410,8,conține,1,"_|GN [nom]|GN [ac]"
train-7345,34,ține,9,"GN [nom]|GP [de]"
train-2268,12,contribui,1,"GP [la]"
train-1340,16,justifica,2,"GN [nom]|GN [ac]"
test-531,20,asocia,3,"GN [ac]|GP [la]"
train-911,2,părea,1,"_|GV [că]"
train-3188,2,lăsa,7,"GN [nom]|GP [] / GAdv []"
train-1263,9,produce,2,"GP [] / GAdv [] / GN [ac]|_|GN [nom]|GP [] / GAdv []"
train-1364,5,uita,1,"GN [ac] / GP [de] / GV [că] / V [să] / GV [unde / cum…]"
train-7188,24,afla,2,"GP [] / GAdv []|GN [nom]|_|_|_|_"
test-378,4,acorda,1,"GN [nom]|GN [dat]|GN [ac]|_|_"
train-937,6,începe,2,"_|GN [ac] / V [să]"
train-7115,21,avea,1,"GN [nom]|GN [ac]|GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|_"
train-2630,8,vorbi,1,"GN [nom]|_|GP [] / GAdv []|_|_"
train-287,3,face,1,"GN [ac]"
train-134,12,continua,1,"GN [nom]|_"
train-2786,7,conține,1,"GN [ac]"
train-862,9,încheia,1,"GN [ac]"
dev-334,11,ști,3,"_|GN [nom]|_|V [să]"
train-1421,13,reuși,1,"GN [nom]|V [să] / V [inf.]|_"
train-1610,11,beneficia,1,"GN [nom]|GP [de]"
train-2765,6,contribui,1,"GP [cu / prin] / V [ger.]|GP [la]"
train-639,9,numi,4,"GN [nom] / GV [dacă / când / că / să]|_|_|_|GN [nom] / GAdv [cum / așa] / GV [că / să]|_"
train-1952,14,stabili,1,"GN [ac] / GV [că] / GV [unde / cum…]"
train-7146,20,produce,2,"GP [] / GAdv [] / GN [ac]|_|GN [nom]"
train-2255,9,veni,1,"GN [nom]"
train-2881,6,vrea,1,"GV [(ca) să]"
dev-376,18,agrava,1,"GN [nom]|_"
dev-7,23,asculta,3,"_|_|_|GN [nom]|GN [ac] / GP [de]"
train-2939,2,crede,1,"GN [nom]|GV [că] / GN [ac]"
train-2013,11,alege,1,"_|GN [nom]|GN [ac]|_"
test-318,1,avea,1,"GN [ac]|GN [nom]"
train-1756,32,contribui,1,"GP [la]"
train-1444,19,respinge,2,"_|GN [nom]|GN [ac]"
train-1088,8,gândi,1,""
train-1386,20,aduce,1,"GN [ac]"
train-231,9,face,1,"GN [ac]"
train-1451,24,avea,1,"GN [nom]|GN [ac]"
test-453,15,reprezenta,1,"GN [nom]|_|GN [ac]"
train-7939,12,pune,7,"GN [dat] / V [își]|GN [ac]"
dev-657,3,zice,1,"_"
train-2960,2,dormi,1,"_"
train-2964,7,ști,1,"_"
train-7300,3,contribui,1,"GN [nom]|GP [la]|_"
train-7240,7,beneficia,1,"GN [nom]|GP [de]"
train-2724,18,opune,2,"GN [dat]|_|GN [nom]"
train-7097,15,exercita,1,"GN [ac]"
train-2842,10,vizita,1,"_|GN [ac]"
dev-682,30,avea,1,"GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [ac]"
train-415,5,găsi,1,"GN [nom]|GN [ac]"
train-1038,4,întinde,4,"GN [nom]|GP [de la / din]|GP [la / în / până (la / în)]|GP [];GN [nom]|GP [pe]"
train-597,8,vedea,2,"GN [ac] / V [se]|GP [] / GP [] / GAdj [ac] / GV [ger. / part.] / GN [ac] / GV [că] / GV [unde / cum…]"
train-2467,10,marca,2,"GN [nom]|_|GN [ac]"
dev-546,15,indica,1,"GN [nom]|GN [ac] / GV [că] / GV [unde / cum…]"
train-1813,6,prezenta,4,"GN [nom]|GN [ac]"
train-2688,18,atinge,6,"GN [nom]|GN [ac]"
train-2143,9,reduce,2,"GN [nom]|GN [ac] / V [se]|GP [la]"
train-2783,15,avea,1,"GN [nom]|GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [ac]"
dev-523,11,solicita,1,"GN [nom]|GN [ac] / GV [să] / GV [(ca) să]"
train-1938,131,cuprinde,2,"GN [ac]"
train-1503,5,merge,1,"GP []|GN [nom]|GP [] / GAdv []|GP []|_|_|_"
test-231,4,lăsa,2,"_|GV [(ca) să]"
train-357,15,vedea,2,"_|GN [ac] / V [se] / GV [că / unde / cum…]|_|_"
train-2879,14,alege,1,"GP [dintre] / GP [ca / drept]|GN [ac]"
train-1803,107,constitui,1,"_|GN [nom]|GN [ac]"
train-1229,19,rămâne,1,"GN [nom]|GP [] / GAdv []|_"
train-7763,8,afla,2,"GN [nom]|_|GP [] / GAdv []"
train-2767,10,crește,1,"GN [nom]|GP [] / V [ger.]"
train-1598,11,beneficia,1,"GN [nom]|_|GP [de]"
train-599,10,reveni,1,"GN [nom]|GP []|GP [] / GAdv []|GP []"
train-7801,19,modifica,2,"GN [ac]"
train-3311,13,crede,1,"GV [că] / GN [ac]"
test-89,3,repara,1,"GN [ac]"
dev-676,7,construi,1,"_|GN [ac]"
dev-672,10,costa,1,"_"
train-3228,6,avea,1,"GN [nom]|GN [ac]"
train-1462,13,afla,2,"GN [nom]|_|GP [] / GAdv []"
train-1268,2,schimba,5,"GN [nom]|GP [în]|GP [din]"
train-2755,16,lua,4,"_|_|GN [ac]"
train-1113,6,deveni,1,"_|GN [nom]|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]|_"
train-346,17,împinge,2,"GN [nom]|_|_"
dev-585,8,decide,1,"GV [(ca) să] / GV [că] / GN [ac] / GP [asupra] / GV [unde / cum…]"
train-1139,6,afirma,1,"GN [nom]|GV [că] / GN [ac]"
train-336,13,citi,1,"GN [ac]"
test-367,23,răspunde,2,"GN [nom]|_|GP [la] / GN [dat]"
train-2763,2,urmări,1,"GN [nom]|GN [ac]"
train-626,1,trage,1,"GN [ac] / GP [de]|GP []"
train-750,1,vrea,1,"GV [(ca) să]"
train-453,3,veni,1,"GP [] / GAdv []"
train-749,3,vedea,2,"GN [ac] / V [se] / GV [că / unde / cum…]"
train-3026,9,coborî,1,"_|GP [] / GAdv []|_"
train-90,2,simți,1,"GN [nom]|GN [ac] / GV [că / când / dacă]|_"
train-2578,13,insista,3,"GN [nom]|V [să] / GP [pe / cu / în]"
test-677,32,provoca,2,"GN [ac]"
train-7151,10,scădea,1,"_"
train-866,8,organiza,1,"GN [ac]|GP [] / GP [după] / GAdv []"
train-716,2,merge,1,"GP [] / GAdv []"
train-1959,57,exercita,2,"GN [nom]|GN [ac]|GP [asupra]"
dev-299,1,lăsa,2,"GN [ac]|GV [să]"
train-7192,19,necesita,1,"GN [ac]"
train-1454,28,opune,1,"GN [nom]|_|GN [dat] / GP [la] / GV [(ca) să]"
train-3171,20,privi,1,"GN [ac] / GP [] / GP [] / GAdv []|_|_"
train-2200,8,beneficia,1,"_|GN [nom]|GP [de]"
dev-632,20,înțelege,1,"GN [ac]|GN [nom]|_"
train-1439,5,investi,1,"GN [ac]|GP [în / pentru / la]|_"
train-7360,6,obține,1,"GN [ac]"
dev-292,10,suferi,1,"GN [nom]|GP [de] / GP [după] / GP [] / GV []"
dev-582,14,participa,1,"GN [nom]|GP [la / în]"
dev-409,23,lua,2,"GN [nom]|GN [ac]"
train-7781,25,avea,1,"GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [nom]|GN [ac]"
dev-278,1,aștepta,2,"GP [] / GAdv []|GN [ac] / GV [(ca) să]"
train-2895,14,uita,1,"GN [ac] / GP [de] / GV [că] / V [să] / GV [unde / cum…]"
train-2977,6,bate,6,"GN [nom]|GP [din]"
train-3358,1,simți,1,"GN [ac] / GV [că / când / dacă]"
train-3062,3,sparge,1,"GN [ac]"
train-1014,16,pleca,1,"GN [nom]|GP []"
train-7993,3,însemna,1,"GN [nom] / GV [să] / GV [dacă] / V [inf.]|GN [nom] / GV [că] / GV [să] / V [inf.]"
train-1298,23,reprezenta,1,"GN [ac]"
train-47,10,avea,1,"GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [nom]|GN [ac]"
train-7890,16,transmite,2,"GP [] / GN [dat]|GN [ac]|_"
train-7636,4,disputa,2,"_|_|GN [nom]"
dev-17,13,face,1,"_|GN [ac]"
test-13,20,apărea,1,"GP [] / GAdv []|GP [] / GAdv []|_|GN [nom]"
train-3300,5,avea,1,"GAdj [ac] / GP [] / GAdv [] / GV [part.] / GN [ac]|GN [nom]|GN [ac]"
train-268,31,cunoaște,3,"GN [ac]|GN [nom]|_"
train-7907,3,specifica,1,"GN [nom]|GN [ac] / GV [că] / GV [unde / cum…] / GV [că]"
train-7762,6,arăta,3,"GN [nom]|GV [că / să] / GV [unde / cum…] / GP []"
train-966,1,locui,1,"GP [] / GAdv []|_|_"
train-7581,7,deveni,1,"_|GN [nom]|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]"
train-1897,19,realiza,1,"GN [ac]"
train-2526,1,adresa,2,"_|_|GN [dat] / GP [la]"
train-7139,5,lăsa,4,"GN [nom]|_|_|GP [de] / V [de sup.]|_"
dev-18,2,trece,15,"GN [nom]|_|_"
train-1167,15,ocupa,4,"GN [nom]|GN [ac]"
train-3200,2,cerceta,1,"GN [ac] / V [se]"
train-2548,6,aștepta,2,"GP [] / GAdv []|GN [nom]|GP [] / GAdv []|GN [ac] / GV [(ca) să]"
train-1292,15,avea,1,"GN [ac]|_"
train-2398,7,uni,1,"GN [ac]|GP [cu]"
train-1984,37,comercializa,1,"_|GN [ac]"
dev-484,6,spune,1,"GN [nom]|GN [ac] / GV [că] / GV [unde / cum…] / GV [-]"
dev-316,3,vedea,2,"GP [] / GP [] / GAdj [ac] / GV [ger. / part.] / GN [ac] / GV [că] / GV [unde / cum…]|GN [ac] / V [se]"
train-1944,74,modifica,1,"_|_|GN [ac]|_"
train-720,5,deveni,1,"_|GN [nom] / GAdj [nom] / V [de sup.] / V [part.]"
test-312,8,vorbi,1,"GN [nom]|_|GP [] / GAdv []"
train-2134,4,intra,1,"GP [] / GAdv []"
train-170,8,scoate,3,"GN [ac]|GN [nom]"
dev-672,17,închide,1,"GN [ac]|_"
train-3133,24,scăpa,3,"_|_|GP [de]"
test-76,7,aproba,2,"GN [nom]|GN [ac] / GV [(ca) să]"
